userAgent,anomaly_score,log_total_calls,out_degree,entropy,max_call
aws-cli/2.0.52 Python/3.7.4 Darwin/18.7.0 exe/x86_64 command/apigateway.get-stages,1.4697133,0.6931472,1.0,0.0,1.0
[Boto3/1.9.47 Python/2.7.15+ Linux/4.18.0-kali1-amd64 Botocore/1.12.47 Resource],1.4662807,6.684612,1.0,0.0,799.0
aws-cli/1.10.26 Python/2.7.10 Darwin/16.6.0 botocore/1.4.17,1.4615778,1.3862944,1.0,0.0,3.0
aws-internal/3 aws-sdk-java/1.11.414 Mac_OS_X/10.12.6 Java_HotSpot(TM)_64-Bit_Server_VM/25.181-b13 java/1.8.0_181,1.4558835,0.6931472,1.0,0.0,1.0
aws-cli/2.0.38 Python/3.7.4 Darwin/19.6.0 exe/x86_64 command/sts.assume-role,1.4558835,0.6931472,1.0,0.0,1.0
aws-cli/1.16.123 Python/2.7.15+ Linux/4.19.0-kali1-amd64 botocore/1.12.113,1.4482131,3.8918202,12.0,2.2421212,14.0
aws-cli/1.16.158 Python/3.6.6 Darwin/17.7.0 botocore/1.12.148,1.4373883,5.587249,38.0,2.8927376,82.0
aws-cli/2.0.44 Python/3.7.7 Windows/10 exe/AMD64 command/lambda.get-policy,1.4347185,0.6931472,1.0,0.0,1.0
Boto3/1.7.48 Python/3.5.3 Linux/4.9.0-7-amd64 Botocore/1.10.48,1.4326668,7.7030077,27.0,0.31887168,2116.0
Boto3/1.7.62 Python/3.7.0 Windows/10 Botocore/1.10.62,1.4318576,5.5012584,106.0,4.603553,6.0
aws-internal/3 aws-sdk-java/1.11.429 Mac_OS_X/10.12.6 Java_HotSpot(TM)_64-Bit_Server_VM/25.181-b13 java/1.8.0_181,1.4304994,0.6931472,1.0,0.0,1.0
Boto3/1.9.111 Python/2.7.10 Darwin/18.2.0 Botocore/1.12.111,1.4303907,1.609438,1.0,0.0,4.0
aws-cli/1.18.127 Python/3.8.5 Darwin/19.6.0 botocore/1.17.50,1.4251724,2.4849067,9.0,2.1458418,2.0
aws-sdk-ruby3/3.30.0 ruby/2.5.1 x86_64-linux-gnu aws-sdk-ec2/1.33.0,1.4248766,1.609438,1.0,0.0,4.0
"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/80.0.3987.163 Chrome/80.0.3987.163 Safari/537.36",1.412982,3.7612002,15.0,2.2504869,15.0
